,articles,clean,stemmed,lemmatized,polarity
142,"Nickel and lithium costs “may increase by another eight- and 11-fold by the end of the decade,” he said. “We estimate by 2035, as much as 30% of battery materials can be met by recycling, and we're working hard to make sure the ecosystem will be ready.”",nickel lithium costs may increase another eight 11fold end decade said estimate 2035 much 30 battery materials met recycling working hard make sure ecosystem ready,nickel lithium cost may increas anoth eight 11fold end decad said estim 2035 much 30 batteri materi met recycl work hard make sure ecosystem readi,nickel lithium cost may increase another eight 11fold end decade said estimate 2035 much 30 battery material met recycling working hard make sure ecosystem ready,0.15208333333333335
143,Ford on Wednesday also instituted ,ford wednesday also instituted,ford wednesday also institut,ford wednesday also instituted,0.0
144,", including making investments in EV charging. ",including making investments ev charging,includ make invest ev charg,including making investment ev charging,0.0
145,GM is targeting annual ,gm targeting annual,gm target annual,gm targeting annual,0.0
146, and is developing four of its own battery plants.,developing four battery plants,develop four batteri plant,developing four battery plant,0.0
147,"The company is overhauling its manufacturing process to embrace an electric future, and in tandem is focused on developing new battery chemistries. Through a joint venture with LG Chem, the auto manufacturer says it will ",company overhauling manufacturing process embrace electric future tandem focused developing new battery chemistries joint venture lg chem auto manufacturer says,compani overhaul manufactur process embrac electr futur tandem focus develop new batteri chemistri joint ventur lg chem auto manufactur say,company overhauling manufacturing process embrace electric future tandem focused developing new battery chemistry joint venture lg chem auto manufacturer say,0.06818181818181818
148,"“With the new technology that we have, we honestly don't know the bottom there,” said Tim Grewe, GM’s general director of electrification strategy and cell engineering. ",new technology honestly dont know bottom said tim grewe gms general director electrification strategy cell engineering,new technolog honestli dont know bottom said tim grew gm gener director electrif strategi cell engin,new technology honestly dont know bottom said tim grewe gm general director electrification strategy cell engineering,0.26212121212121214
149," is also building battery plants, ",also building battery plants,also build batteri plant,also building battery plant,0.0
150, and Tesla has ,tesla,tesla,tesla,0.0
151, in Nevada and New York.    ,nevada new york,nevada new york,nevada new york,0.13636363636363635
152,"The partnerships are about more than just securing battery cells, however, said Robert Galyen, formerly the chief technology officer at CATL, the world’s largest battery manufacturer. ",partnerships securing battery cells however said robert galyen formerly chief technology officer catl worlds largest battery manufacturer,partnership secur batteri cell howev said robert galyen formerli chief technolog offic catl world largest batteri manufactur,partnership securing battery cell however said robert galyen formerly chief technology officer catl world largest battery manufacturer,0.0
153,"“Joint ventures are a big deal right now. It's another way of shielding the car manufacturers and the [original equipment manufacturers] from the legal system,” Galyen said during his Tuesday keynote address at the Novi battery conference.",joint ventures big deal right another way shielding car manufacturers original equipment manufacturers legal system galyen said tuesday keynote address novi battery conference,joint ventur big deal right anoth way shield car manufactur origin equip manufactur legal system galyen said tuesday keynot address novi batteri confer,joint venture big deal right another way shielding car manufacturer original equipment manufacturer legal system galyen said tuesday keynote address novi battery conference,0.21517857142857144
154,"“We see lots of battery companies and a lot of car companies partnering with each other. ... Because if a joint venture makes the battery, it's their sole responsibility to make sure that battery system is safe,” Galyen said. “And then the court system will not go after the OEM. So it's a great way of protecting the OEMs.”",see lots battery companies lot car companies partnering joint venture makes battery sole responsibility make sure battery system safe galyen said court system go oem great way protecting oems,see lot batteri compani lot car compani partner joint ventur make batteri sole respons make sure batteri system safe galyen said court system go oem great way protect oem,see lot battery company lot car company partnering joint venture make battery sole responsibility make sure battery system safe galyen said court system go oem great way protecting oems,0.45
155,"The same approach “cascades not only from the OEMs and the car battery manufacturers, but it goes right down to the supply chain,” Galyen said. “Many of the supply chain guys are getting partnerships established with the battery manufacturers in a way that they can do more cost-effective business.”",approach cascades oems car battery manufacturers goes right supply chain galyen said many supply chain guys getting partnerships established battery manufacturers way costeffective business,approach cascad oem car batteri manufactur goe right suppli chain galyen said mani suppli chain guy get partnership establish batteri manufactur way costeffect busi,approach cascade oems car battery manufacturer go right supply chain galyen said many supply chain guy getting partnership established battery manufacturer way costeffective business,0.39285714285714285
156,Get the free daily newsletter read by industry experts,get free daily newsletter read industry experts,get free daili newslett read industri expert,get free daily newsletter read industry expert,0.2
157,"Topics covered: smart grid tech, clean energy, regulation, generation, and much more.",topics covered smart grid tech clean energy regulation generation much,topic cover smart grid tech clean energi regul gener much,topic covered smart grid tech clean energy regulation generation much,0.26031746031746034
158,"There are only a few storage resources currently registered on the Midcontinent system operator’s grid, but thousands of megawatts are in varying stages of development.",storage resources currently registered midcontinent system operators grid thousands megawatts varying stages development,storag resourc current regist midcontin system oper grid thousand megawatt vari stage develop,storage resource currently registered midcontinent system operator grid thousand megawatt varying stage development,0.0
159,"Utilities and grid operators are facing increasing threats from climate change as well as cyber and physical attacks, and are deploying a variety of responses to meet the rising challenges.",utilities grid operators facing increasing threats climate change well cyber physical attacks deploying variety responses meet rising challenges,util grid oper face increas threat climat chang well cyber physic attack deploy varieti respons meet rise challeng,utility grid operator facing increasing threat climate change well cyber physical attack deploying variety response meet rising challenge,0.0
160,"Subscribe to Utility Dive for top news, trends & analysis",subscribe utility dive top news trends analysis,subscrib util dive top news trend analysi,subscribe utility dive top news trend analysis,0.5
161,"Topics covered: smart grid tech, clean energy, regulation, generation, and much more.",topics covered smart grid tech clean energy regulation generation much,topic cover smart grid tech clean energi regul gener much,topic covered smart grid tech clean energy regulation generation much,0.26031746031746034
162,Get the free daily newsletter read by industry experts,get free daily newsletter read industry experts,get free daili newslett read industri expert,get free daily newsletter read industry expert,0.2
163,"Topics covered: smart grid tech, clean energy, regulation, generation, and much more.",topics covered smart grid tech clean energy regulation generation much,topic cover smart grid tech clean energi regul gener much,topic covered smart grid tech clean energy regulation generation much,0.26031746031746034
164,"There are only a few storage resources currently registered on the Midcontinent system operator’s grid, but thousands of megawatts are in varying stages of development.",storage resources currently registered midcontinent system operators grid thousands megawatts varying stages development,storag resourc current regist midcontin system oper grid thousand megawatt vari stage develop,storage resource currently registered midcontinent system operator grid thousand megawatt varying stage development,0.0
165,"Utilities and grid operators are facing increasing threats from climate change as well as cyber and physical attacks, and are deploying a variety of responses to meet the rising challenges.",utilities grid operators facing increasing threats climate change well cyber physical attacks deploying variety responses meet rising challenges,util grid oper face increas threat climat chang well cyber physic attack deploy varieti respons meet rise challeng,utility grid operator facing increasing threat climate change well cyber physical attack deploying variety response meet rising challenge,0.0
166,The free newsletter covering the top industry headlines,free newsletter covering top industry headlines,free newslett cover top industri headlin,free newsletter covering top industry headline,0.45
167,"Topics covered: smart grid tech, clean energy, regulation, generation, and much more.",topics covered smart grid tech clean energy regulation generation much,topic cover smart grid tech clean energi regul gener much,topic covered smart grid tech clean energy regulation generation much,0.26031746031746034
168,"President Joe Biden announced Wednesday the release of the first round of funding for a nationwide electric vehicle charging network, financing the construction of stations in 35 states.",president joe biden announced wednesday release first round funding nationwide electric vehicle charging network financing construction stations 35 states,presid joe biden announc wednesday releas first round fund nationwid electr vehicl charg network financ construct station 35 state,president joe biden announced wednesday release first round funding nationwide electric vehicle charging network financing construction station 35 state,0.024999999999999994
169,"""I'm pleased to announce that we're approving funding for the first 35 states, including Michigan, to build their own charging infrastructure throughout their state,"" Biden said at the Detroit Auto Show, standing in front of a spate of electric vehicles.",im pleased announce approving funding first 35 states including michigan build charging infrastructure throughout state biden said detroit auto show standing front spate electric vehicles,im pleas announc approv fund first 35 state includ michigan build charg infrastructur throughout state biden said detroit auto show stand front spate electr vehicl,im pleased announce approving funding first 35 state including michigan build charging infrastructure throughout state biden said detroit auto show standing front spate electric vehicle,0.375
170,Biden has been a big proponent of EVs,biden big proponent evs,biden big propon ev,biden big proponent ev,0.0
171, signing into law incentives to encourage consumers to buy them and companies to build them. The Bipartisan Infrastructure Law included $7.5 billion for a national EV charging network while the Inflation Reduction Act and the CHIPS and Science Act both included provisions fostering development of the industry in the United States.,signing law incentives encourage consumers buy companies build bipartisan infrastructure law included 75 billion national ev charging network inflation reduction act chips science act included provisions fostering development industry united states,sign law incent encourag consum buy compani build bipartisan infrastructur law includ 75 billion nation ev charg network inflat reduct act chip scienc act includ provis foster develop industri unit state,signing law incentive encourage consumer buy company build bipartisan infrastructure law included 75 billion national ev charging network inflation reduction act chip science act included provision fostering development industry united state,0.0
172,"""You all are going to be part of a network of 500,000 charging stations — 500,000 — across the country, installed by the IBEW,"" Biden said",going part network 500000 charging stations 500000 across country installed ibew biden said,go part network 500000 charg station 500000 across countri instal ibew biden said,going part network 500000 charging station 500000 across country installed ibew biden said,0.0
173,referring to the International Brotherhood of Electrical Workers labor union.,referring international brotherhood electrical workers labor union,refer intern brotherhood electr worker labor union,referring international brotherhood electrical worker labor union,0.0
174,Biden noted that his administration has put $135 billion toward electric vehicle development and creation.,biden noted administration put 135 billion toward electric vehicle development creation,biden note administr put 135 billion toward electr vehicl develop creation,biden noted administration put 135 billion toward electric vehicle development creation,0.0
175,"""It used to be that to buy an electric car you had to make all sorts of compromises, not today,"" Biden said. ""Look, the great American road trip is going to be fully electrified, whether you're driving coast to coast along I-10 or on I-75 here in Michigan, charging stations will be up and easy to find as easy as they are now.""",used buy electric car make sorts compromises today biden said look great american road trip going fully electrified whether youre driving coast coast along i10 i75 michigan charging stations easy find easy,use buy electr car make sort compromis today biden said look great american road trip go fulli electrifi whether your drive coast coast along i10 i75 michigan charg station easi find easi,used buy electric car make sort compromise today biden said look great american road trip going fully electrified whether youre driving coast coast along i10 i75 michigan charging station easy find easy,0.4166666666666667
176,"The lack of ubiquitous chargers remains one of the largest barriers for electric vehicles nationwide. Tax credits included in the Inflation Reduction Act are meant to give Americans incentives to purchase electric vehicles, including to buy used electric vehicles for the first time.",lack ubiquitous chargers remains one largest barriers electric vehicles nationwide tax credits included inflation reduction act meant give americans incentives purchase electric vehicles including buy used electric vehicles first time,lack ubiquit charger remain one largest barrier electr vehicl nationwid tax credit includ inflat reduct act meant give american incent purchas electr vehicl includ buy use electr vehicl first time,lack ubiquitous charger remains one largest barrier electric vehicle nationwide tax credit included inflation reduction act meant give american incentive purchase electric vehicle including buy used electric vehicle first time,0.125
177,Got a confidential news tip? We want to hear from you.,got confidential news tip want hear,got confidenti news tip want hear,got confidential news tip want hear,0.0
178,Sign up for free newsletters and get more CNBC delivered to your inbox,sign free newsletters get cnbc delivered inbox,sign free newslett get cnbc deliv inbox,sign free newsletter get cnbc delivered inbox,0.4
179,"Get this delivered to your inbox, and more info about our products and services. ",get delivered inbox info products services,get deliv inbox info product servic,get delivered inbox info product service,0.0
